store_id,item_id,promo_start,promo_end,promo_type,discount_depth
S001,I00133,2024-01-01,2024-01-07,TPR,0.3
S001,I00139,2024-01-01,2024-01-07,Multibuy,0.1
S001,I00071,2024-01-01,2024-01-07,Seasonal,0.3
S001,I00047,2024-01-01,2024-01-07,Seasonal,0.2
S001,I00188,2024-01-01,2024-01-07,Multibuy,0.15
S001,I00135,2024-01-01,2024-01-07,Seasonal,0.1
S001,I00146,2024-01-01,2024-01-07,TPR,0.35
S001,I00198,2024-01-01,2024-01-07,TPR,0.25
S001,I00140,2024-01-01,2024-01-07,TPR,0.2
S001,I00118,2024-01-01,2024-01-07,Seasonal,0.15
S001,I00137,2024-01-01,2024-01-07,Seasonal,0.3
S001,I00006,2024-01-01,2024-01-07,TPR,0.3
S001,I00065,2024-01-01,2024-01-07,TPR,0.3
S001,I00063,2024-01-01,2024-01-07,TPR,0.25
S001,I00120,2024-01-01,2024-01-07,TPR,0.3
S001,I00215,2024-01-08,2024-01-14,Loyalty,0.1
S001,I00109,2024-01-08,2024-01-14,Multibuy,0.35
S001,I00063,2024-01-08,2024-01-14,Multibuy,0.3
S001,I00148,2024-01-08,2024-01-14,TPR,0.1
S001,I00138,2024-01-08,2024-01-14,TPR,0.3
S001,I00213,2024-01-08,2024-01-14,Loyalty,0.2
S001,I00023,2024-01-08,2024-01-14,TPR,0.25
S001,I00219,2024-01-08,2024-01-14,Multibuy,0.3
S001,I00113,2024-01-08,2024-01-14,Multibuy,0.2
S001,I00008,2024-01-08,2024-01-14,Loyalty,0.1
S001,I00183,2024-01-08,2024-01-14,TPR,0.1
S001,I00216,2024-01-08,2024-01-14,Multibuy,0.2
S001,I00211,2024-01-08,2024-01-14,TPR,0.35
S001,I00129,2024-01-08,2024-01-14,TPR,0.2
S001,I00086,2024-01-08,2024-01-14,TPR,0.15
S001,I00158,2024-01-15,2024-01-21,Loyalty,0.35
S001,I00103,2024-01-15,2024-01-21,Loyalty,0.1
